filename	barcode(s)
unc.edu.be89bf4d-75f7-4596-9251-490976f7e254.2531471.rsem.isoforms.normalized_results	TCGA-ZD-A8I3-01A-11R-A41I-07
unc.edu.be89bf4d-75f7-4596-9251-490976f7e254.2531472.rsem.genes.normalized_results	TCGA-ZD-A8I3-01A-11R-A41I-07
unc.edu.be89bf4d-75f7-4596-9251-490976f7e254.2531767.bt.exon_quantification.txt	TCGA-ZD-A8I3-01A-11R-A41I-07
unc.edu.c49a7f2a-f7ef-419d-829a-0b3a9f915aad.2530191.junction_quantification.txt	TCGA-3X-AAVE-01A-11R-A41I-07
unc.edu.c49a7f2a-f7ef-419d-829a-0b3a9f915aad.2531709.rsem.genes.results	TCGA-3X-AAVE-01A-11R-A41I-07
unc.edu.c49a7f2a-f7ef-419d-829a-0b3a9f915aad.2531710.rsem.isoforms.results	TCGA-3X-AAVE-01A-11R-A41I-07
unc.edu.c49a7f2a-f7ef-419d-829a-0b3a9f915aad.2531758.rsem.isoforms.normalized_results	TCGA-3X-AAVE-01A-11R-A41I-07
unc.edu.c49a7f2a-f7ef-419d-829a-0b3a9f915aad.2531761.rsem.genes.normalized_results	TCGA-3X-AAVE-01A-11R-A41I-07
unc.edu.c49a7f2a-f7ef-419d-829a-0b3a9f915aad.2531936.bt.exon_quantification.txt	TCGA-3X-AAVE-01A-11R-A41I-07
unc.edu.cf410999-4cac-4f7b-9062-bfd807c50355.2543801.junction_quantification.txt	TCGA-W5-AA38-01A-11R-A41I-07
unc.edu.cf410999-4cac-4f7b-9062-bfd807c50355.2544362.rsem.genes.results	TCGA-W5-AA38-01A-11R-A41I-07
unc.edu.cf410999-4cac-4f7b-9062-bfd807c50355.2544363.rsem.isoforms.results	TCGA-W5-AA38-01A-11R-A41I-07
unc.edu.cf410999-4cac-4f7b-9062-bfd807c50355.2544414.rsem.isoforms.normalized_results	TCGA-W5-AA38-01A-11R-A41I-07
unc.edu.cf410999-4cac-4f7b-9062-bfd807c50355.2544419.rsem.genes.normalized_results	TCGA-W5-AA38-01A-11R-A41I-07
unc.edu.cf410999-4cac-4f7b-9062-bfd807c50355.2544618.bt.exon_quantification.txt	TCGA-W5-AA38-01A-11R-A41I-07
unc.edu.d3b1d5c8-a823-4630-a160-599bc0d5fb9a.2544279.junction_quantification.txt	TCGA-W5-AA2R-01A-11R-A41I-07
unc.edu.d3b1d5c8-a823-4630-a160-599bc0d5fb9a.2544976.rsem.genes.results	TCGA-W5-AA2R-01A-11R-A41I-07
unc.edu.d3b1d5c8-a823-4630-a160-599bc0d5fb9a.2544977.rsem.isoforms.results	TCGA-W5-AA2R-01A-11R-A41I-07
unc.edu.d3b1d5c8-a823-4630-a160-599bc0d5fb9a.2545008.rsem.isoforms.normalized_results	TCGA-W5-AA2R-01A-11R-A41I-07
unc.edu.d3b1d5c8-a823-4630-a160-599bc0d5fb9a.2545012.rsem.genes.normalized_results	TCGA-W5-AA2R-01A-11R-A41I-07
unc.edu.d3b1d5c8-a823-4630-a160-599bc0d5fb9a.2545247.bt.exon_quantification.txt	TCGA-W5-AA2R-01A-11R-A41I-07
unc.edu.d6580402-f691-479a-8b3c-582547b22b0c.2531141.junction_quantification.txt	TCGA-W5-AA2T-01A-12R-A41I-07
unc.edu.d6580402-f691-479a-8b3c-582547b22b0c.2532102.rsem.genes.results	TCGA-W5-AA2T-01A-12R-A41I-07
unc.edu.d6580402-f691-479a-8b3c-582547b22b0c.2532103.rsem.isoforms.results	TCGA-W5-AA2T-01A-12R-A41I-07
unc.edu.d6580402-f691-479a-8b3c-582547b22b0c.2532133.rsem.genes.normalized_results	TCGA-W5-AA2T-01A-12R-A41I-07
unc.edu.d6580402-f691-479a-8b3c-582547b22b0c.2532134.rsem.isoforms.normalized_results	TCGA-W5-AA2T-01A-12R-A41I-07
unc.edu.d6580402-f691-479a-8b3c-582547b22b0c.2532329.bt.exon_quantification.txt	TCGA-W5-AA2T-01A-12R-A41I-07
unc.edu.df40ecd0-42b7-45be-9789-098cc3c85f34.2537754.junction_quantification.txt	TCGA-W5-AA2Z-01A-11R-A41I-07
unc.edu.df40ecd0-42b7-45be-9789-098cc3c85f34.2538320.rsem.genes.results	TCGA-W5-AA2Z-01A-11R-A41I-07
unc.edu.df40ecd0-42b7-45be-9789-098cc3c85f34.2538321.rsem.isoforms.results	TCGA-W5-AA2Z-01A-11R-A41I-07
unc.edu.df40ecd0-42b7-45be-9789-098cc3c85f34.2538337.rsem.isoforms.normalized_results	TCGA-W5-AA2Z-01A-11R-A41I-07
unc.edu.df40ecd0-42b7-45be-9789-098cc3c85f34.2538340.rsem.genes.normalized_results	TCGA-W5-AA2Z-01A-11R-A41I-07
unc.edu.df40ecd0-42b7-45be-9789-098cc3c85f34.2538536.bt.exon_quantification.txt	TCGA-W5-AA2Z-01A-11R-A41I-07
unc.edu.e67b53ac-771f-4b92-aad8-da78c97f4bcb.2528950.junction_quantification.txt	TCGA-W5-AA33-01A-11R-A41I-07
unc.edu.e67b53ac-771f-4b92-aad8-da78c97f4bcb.2531392.rsem.genes.results	TCGA-W5-AA33-01A-11R-A41I-07
unc.edu.e67b53ac-771f-4b92-aad8-da78c97f4bcb.2531393.rsem.isoforms.results	TCGA-W5-AA33-01A-11R-A41I-07
unc.edu.e67b53ac-771f-4b92-aad8-da78c97f4bcb.2531417.rsem.isoforms.normalized_results	TCGA-W5-AA33-01A-11R-A41I-07
unc.edu.e67b53ac-771f-4b92-aad8-da78c97f4bcb.2531418.rsem.genes.normalized_results	TCGA-W5-AA33-01A-11R-A41I-07
unc.edu.e67b53ac-771f-4b92-aad8-da78c97f4bcb.2531775.bt.exon_quantification.txt	TCGA-W5-AA33-01A-11R-A41I-07
unc.edu.e819d2ae-9cfb-4256-a15c-23fbb3683ee7.2529050.junction_quantification.txt	TCGA-W5-AA30-11A-11R-A41I-07
unc.edu.e819d2ae-9cfb-4256-a15c-23fbb3683ee7.2531673.rsem.genes.results	TCGA-W5-AA30-11A-11R-A41I-07
unc.edu.e819d2ae-9cfb-4256-a15c-23fbb3683ee7.2531674.rsem.isoforms.results	TCGA-W5-AA30-11A-11R-A41I-07
unc.edu.e819d2ae-9cfb-4256-a15c-23fbb3683ee7.2531718.rsem.genes.normalized_results	TCGA-W5-AA30-11A-11R-A41I-07
unc.edu.e819d2ae-9cfb-4256-a15c-23fbb3683ee7.2531721.rsem.isoforms.normalized_results	TCGA-W5-AA30-11A-11R-A41I-07
unc.edu.e819d2ae-9cfb-4256-a15c-23fbb3683ee7.2531937.bt.exon_quantification.txt	TCGA-W5-AA30-11A-11R-A41I-07
unc.edu.f322aedd-a561-4b14-b2e3-f60087b705f7.2538010.junction_quantification.txt	TCGA-ZH-A8Y6-01A-11R-A41I-07
unc.edu.f322aedd-a561-4b14-b2e3-f60087b705f7.2538681.rsem.genes.results	TCGA-ZH-A8Y6-01A-11R-A41I-07
unc.edu.f322aedd-a561-4b14-b2e3-f60087b705f7.2538682.rsem.isoforms.results	TCGA-ZH-A8Y6-01A-11R-A41I-07
unc.edu.f322aedd-a561-4b14-b2e3-f60087b705f7.2538709.rsem.genes.normalized_results	TCGA-ZH-A8Y6-01A-11R-A41I-07
unc.edu.f322aedd-a561-4b14-b2e3-f60087b705f7.2538712.rsem.isoforms.normalized_results	TCGA-ZH-A8Y6-01A-11R-A41I-07
unc.edu.f322aedd-a561-4b14-b2e3-f60087b705f7.2538833.bt.exon_quantification.txt	TCGA-ZH-A8Y6-01A-11R-A41I-07
unc.edu.f36ef26a-5c56-422b-bcdf-4693615d026b.2530434.junction_quantification.txt	TCGA-4G-AAZO-01A-12R-A41I-07
unc.edu.f36ef26a-5c56-422b-bcdf-4693615d026b.2531383.rsem.genes.results	TCGA-4G-AAZO-01A-12R-A41I-07
unc.edu.f36ef26a-5c56-422b-bcdf-4693615d026b.2531384.rsem.isoforms.results	TCGA-4G-AAZO-01A-12R-A41I-07
unc.edu.f36ef26a-5c56-422b-bcdf-4693615d026b.2531411.rsem.isoforms.normalized_results	TCGA-4G-AAZO-01A-12R-A41I-07
unc.edu.f36ef26a-5c56-422b-bcdf-4693615d026b.2531412.rsem.genes.normalized_results	TCGA-4G-AAZO-01A-12R-A41I-07
unc.edu.f36ef26a-5c56-422b-bcdf-4693615d026b.2531736.bt.exon_quantification.txt	TCGA-4G-AAZO-01A-12R-A41I-07
unc.edu.f53d3bb4-4d10-4321-b41b-87fed60e6fc1.2537537.junction_quantification.txt	TCGA-W5-AA30-01A-31R-A41I-07
unc.edu.f53d3bb4-4d10-4321-b41b-87fed60e6fc1.2538037.rsem.genes.results	TCGA-W5-AA30-01A-31R-A41I-07
unc.edu.f53d3bb4-4d10-4321-b41b-87fed60e6fc1.2538038.rsem.isoforms.results	TCGA-W5-AA30-01A-31R-A41I-07
unc.edu.f53d3bb4-4d10-4321-b41b-87fed60e6fc1.2538074.rsem.genes.normalized_results	TCGA-W5-AA30-01A-31R-A41I-07
unc.edu.f53d3bb4-4d10-4321-b41b-87fed60e6fc1.2538075.rsem.isoforms.normalized_results	TCGA-W5-AA30-01A-31R-A41I-07
unc.edu.f53d3bb4-4d10-4321-b41b-87fed60e6fc1.2538214.bt.exon_quantification.txt	TCGA-W5-AA30-01A-31R-A41I-07
unc.edu.f5475a42-4520-4124-9ace-8c0ed9eabefb.2537786.junction_quantification.txt	TCGA-W6-AA0S-01A-11R-A41I-07
unc.edu.f5475a42-4520-4124-9ace-8c0ed9eabefb.2538381.rsem.genes.results	TCGA-W6-AA0S-01A-11R-A41I-07
unc.edu.f5475a42-4520-4124-9ace-8c0ed9eabefb.2538382.rsem.isoforms.results	TCGA-W6-AA0S-01A-11R-A41I-07
unc.edu.f5475a42-4520-4124-9ace-8c0ed9eabefb.2538420.rsem.isoforms.normalized_results	TCGA-W6-AA0S-01A-11R-A41I-07
unc.edu.f5475a42-4520-4124-9ace-8c0ed9eabefb.2538421.rsem.genes.normalized_results	TCGA-W6-AA0S-01A-11R-A41I-07
unc.edu.f5475a42-4520-4124-9ace-8c0ed9eabefb.2538538.bt.exon_quantification.txt	TCGA-W6-AA0S-01A-11R-A41I-07
unc.edu.f7f581cf-3c93-4eaf-9f10-299006f058ce.2560856.junction_quantification.txt	TCGA-ZH-A8Y5-01A-11R-A41I-07
unc.edu.f7f581cf-3c93-4eaf-9f10-299006f058ce.2561770.rsem.genes.results	TCGA-ZH-A8Y5-01A-11R-A41I-07
unc.edu.f7f581cf-3c93-4eaf-9f10-299006f058ce.2561771.rsem.isoforms.results	TCGA-ZH-A8Y5-01A-11R-A41I-07
unc.edu.f7f581cf-3c93-4eaf-9f10-299006f058ce.2561786.rsem.isoforms.normalized_results	TCGA-ZH-A8Y5-01A-11R-A41I-07
unc.edu.f7f581cf-3c93-4eaf-9f10-299006f058ce.2561789.rsem.genes.normalized_results	TCGA-ZH-A8Y5-01A-11R-A41I-07
unc.edu.f7f581cf-3c93-4eaf-9f10-299006f058ce.2561937.bt.exon_quantification.txt	TCGA-ZH-A8Y5-01A-11R-A41I-07
unc.edu.f86273ce-18c0-47f3-af69-2eac38089508.2530522.junction_quantification.txt	TCGA-W5-AA2Q-11A-11R-A41I-07
unc.edu.f86273ce-18c0-47f3-af69-2eac38089508.2531780.rsem.genes.results	TCGA-W5-AA2Q-11A-11R-A41I-07
unc.edu.f86273ce-18c0-47f3-af69-2eac38089508.2531781.rsem.isoforms.results	TCGA-W5-AA2Q-11A-11R-A41I-07
unc.edu.f86273ce-18c0-47f3-af69-2eac38089508.2531792.rsem.genes.normalized_results	TCGA-W5-AA2Q-11A-11R-A41I-07
unc.edu.f86273ce-18c0-47f3-af69-2eac38089508.2531795.rsem.isoforms.normalized_results	TCGA-W5-AA2Q-11A-11R-A41I-07
unc.edu.f86273ce-18c0-47f3-af69-2eac38089508.2531934.bt.exon_quantification.txt	TCGA-W5-AA2Q-11A-11R-A41I-07

